11-diethoxyethane|1دی اتوکسی اتان
barring clown 63 scaling 62 slabbing|لق گیری
barring except other saving unless|جز
barringerite|ازنام M
barrings|چوب بستکاری
barringtonite|نوعی کانی
barrio|از ریشهی عربی
barrister|حقوق دان
barrister at law, barrister-at-law|وکیل قانونی‌
barrister queen's counsel|وکیل مدافع
barrister-at-law|وکیل دادگستری
barroisite|نوعی کانی
barroom|بار
barrovian metamorphic zone|بیوتیت
barrow|انگلیس ارابهی دستی گاری دوچرخه فرقون
barroys process|فرآیند بارویز
barry marks|اثرات راه راه ضخیم یا برجسته ناشی از تار یا پود اشتباه در پارچه
bars|میله‌ها
barstowite|نوعی کانی
bart|بارونت
bartelkeite|نوعی کانی
bartend|تصدی بار
bartender|بار
barter|کالا
barter agreement|قرارداد پایاپای
barter away|تجارت یا معامله پایاپای کردن
barter commerce|دادوستد کردن
barter economy|اقتصاد پایاپای
barter exchange|پایاپای
barter for|پایاپای معامله کردن
barter system|نظام تهاتری
barter trade trade-off|تهاتر
bartered|تهاتری
barterer|تهاترگر
barth|کارل بارت یزدان شناس سویسی
barthes|رولاند بارت نویسنده و نقدگر ادبی فرانسوی
bartholomew|بیارتولومه
bartilett|نوعی دستگاه جلودهنده چله از نوع مثبت در ماشین بافندگی
bartizan|کنگره بالای برج‌
bartk|بلا بارتک آهنگساز مارستانی
bartles cross-belt separator|جدا کننده بارتلز
bartlett|جان بارتلت ناشر و ویراستار امریکایی
bartlett adjustment|تصحیح بارتلت
bartlett pear|گلابی بارتلت نوعی گلابی امریکایی که درشت و آبدار است
bartlett test|ازمون بارتلت
bartlett's test of homogeneity of variances|آزمون بارتلت برای همگنی واریانس‌ها
bartolommeo|ایتالیا
barton|حیاط رعیتی صاحب ملک
barton-david test|دیوید
bartonian|آشکوب دور ایوسن میانی
bartonite|نوعی کانی
baruch|امریکایی
barut formation|کمی سبز
barware|ظرفهای شیشهای به اشکال و اندازههای مختلف که در بارها وجود دارد تنگ بطریات
bary|بری
barycenter|مرکز ثقل
barycenter coordinates|مختصات مرکز ثقل
barycenteric coordinates|مختصات مرکز ثقل
barycentric|مرکز جرمی
barycentric angles of a triangle|زوایای مجاور به قاعده مثلث
barycentric coordinates|مختصات گرانیگاهی
barycentric field|هییت پایه
barycentric for a topology|پایه توپولوژی
barycentric for logarithm|مبنای لگاریتم
barycentric of a number system|مبنای یک دستگاه شمار
barycentric of nataral logarithm|پایه لگاریتم طبیعی
barycentric of neighborhoods|پایه همسایگی‌ها
barycentric of triangle|قاعده مثلث
barye|بار
barylalia|گفتار بیخ حلقی
barylite|نوعی کانی
baryon|باریون
baryonyx|نوعی دایناسور
baryphonia|کلفت صدایی
barysilite|نوعی کانی
barysphere|سنگ نیکره
baryta|شیمی هر یک از چندین ترکیب باریم به ویژه اکسید باریم و هیدروکسید باریم
barytes barite|باریت گل افزایه
barytine|با
barytocalcite|ترد
barytolamprophyllite|نوعی کانی
barytone|وسط
barzani|بارزانی
barzin|برزین
bas|فایلهای
bas relief, bas-relief|برجسته کوتاه‌
bas relif|کوتاه‌
bas-relief|باریلیف
basal|اساسی‌
basal age|سن پایه
basal anesthesia|پزشکی هوشبری آغازین
basal basic fundamental rudimentary|پایه ای
basal cell carcinoma|کارسینوم سلول قاعده‌ای
basal cleavage|رخ قاعده ای
basal conglomerate|کنگلومرای قاعده ای
basal detachment|پی جدایشی
basal ganglia|عقده‌های پایه
basal glide|لغزش قاعده ای
basal metabolic rate|اهنگ سوخت و ساز پایه
basal metabolism|سوخت و ساز پایه
basal quartz sand|ماسه کوارتزی قاعده
basal sliding|لغزش قاعده ای
basal spacing|فواصل بین لایه ای باسال در سیلیکاتها
basal till|پایه یخ نهشت
basal waters|آب زیر نفت
basal watertable|سطح ایستابی قاعده ای
basalt|بازالت
basalt fibers|الیاف بازالت
basalt glass|سیدروملان
basalt tuff|توف بازالتی
basaltic dome|گنبد بازالتی
basaltic plateau|فلات بازالتی
basaltic stratum|لایه بازالتی
basaluminite|نوعی کانی
basan|میشن
basanite|بازانیت
bascket catch|گرفتن توپ با کف دست به طرف بالا در سطح کمر
bascula|پرش قوسی کامل اسب از روی مانع
basculating fault|گسل اهرمی
bascule|قانه
bascule bridge|پل قانی، پل قپانی‌
bascule bridge, bascule-bridge|پل اهرمی
bascule lever pry|اهرم
bascule scale steelyard|قان
bascule scale weighbridge|باسکول
base|مبنا اصل
base address|نشانی پایه
base analogue|آنالوگ بازی
base angles of a triangle|زوایای مجاور به قاعده مثلث
base band system|سیستم باند پایه
base bias|باپاس بیس ولتاژمستقیمی که به بیس ترانزیستور اعمال می‌شود
base binge|نوعی کوکایین
base bottom end stump|بی
base box|جعبه پایه
base camp|کمپ اصلی
base charge|خرج اصلی
base circle|دایره مبنا
base class|کلاس مبنا
base coat|بن پوشه
base command|فرماندهی پایگاه
base complex|مجتمع پایگاه هوایی یا دریایی یا زمینی و غیره
base constructor|سازنده کلاس مبنا
base cornerstone foundation ground groundwork pith root|اساس
base correction|تصحیح مبنا
base course|قشر اساس
base court, base-court|حیاط بیرونی یاعقبی‌
base cover|عکس برداری اولیه
base criteria|معیار اصلی
base curent|جریان بیس
base defense|پدآفند پایگاه، پدافند پایگاه
base depot|امادگاه مبنا
base development|تهیه پایگاه
base discordance|مقایسه شود با
base dust partition wall|لاد
base ejection|ته پران
base end station|ایستگاه عقب
base exchange|روش تبادل یونی جهت سختی گیری آب
base excision repair|ترمیم برداشت بازی
base excision sequence scanning|برداشت بازی
base execrable|جنس بد
base field|هییت پایه
base film|از استات سلولز و کلرید پلی و ینیل استفاده می‌شود
base flag|پرچم اصلی
base flange elevation|ارتفاع سرلوله مبنا
base flow|آب پایه
base font|فونت پایه
base for a topology|پایه توپولوژی
base for logarithm|مبنای لگاریتم
base fort garrison|ساخلو
base foundation nerve neuro-substratum|پی
base frame|چهارچوب زیر دستگاهها
base fuze|ماسوره ته
base height ratio|ارتفاع
base hit|ضربه به داخل محوطه با امتیاز
base ignition|احتراق تحتانی
base ignominious|پست کننده
base impurity|ناخالصی بیس
base injection|تزریق در ناحیه بیس
base inventory|موجودی پایه مبنا
base isolation|جداسازی
base level|تهتراز
base level, base-level|سطح اساس
base level of consumption|سطح پایه مصرف
base light|نور عمومی
base line|خط مبدا
base line end station|ایستگاه انتهایی خط مبنا
base line of sands|خط مبنای ماسه‌ها
base load|بار پایه
base load power station|نیروگاه بار پایه
base loading|بار اولیه
base logistical command|یکان مبنای لوجستیکی
base map|نقشه مادر
base material|ماده پایه
base memory|حافظه اصلی
base met coal|زغال سنگ متالورژیکی پایه
base metal|فلز پست
base metals|فلز مادر
base mortar|قبضه مبنا
base nitty-gritty|زیرساخت
base number|عدد مبنا
base of a logarithmic function|پایه تابع لگاریتمی
base of a number system|پایه دستگاه عددی
base of a solid|قاعده یک جسم
base of a topological space|پایه فضای توپولوژیک
base of a triangle|قاعده مثلث
base of drift|قاعده رانه
base of fire|مبنای آتش
base of natural logarithm|پایه لگاریتم طبیعی
base of neighborhoods|پایه همسایگی‌ها
base of operations|پایگاه عملیات
base of origin|مبداء اصلی
base of otl|مایه نفت
base of the derrick|پی دکل
base of trajectory|پایه مسیر گلوله
base of triangle|قاعده مثلث
base of wall|روپی
base oil|روغن پایه
base on halls|گرفتن امتیاز با رسیدن به پایگاه نخست
base operation|عملیات پایگاهی
base ore|کانه کم عیار
base pair|جفت
base pairing|جفت شدن بازی
base path|مسیر بین پایگاهها
base pay|مزد پایه
base peak|پیک مبنا
base period|دوره مبنا
base piece|کف
base pillar wall|جرز
base pitch|فاصله بین نیمرخهای مشابه دو دندانه مجاور از یک چرخ دنده
base plate|صفحه اساس
base plate of the derrick|صفحه پی دکل
base plug|درپوش کف
base point|نقطه مبنا
base price|قیمت مبنا
base principle tenet|مبنا
base quartzite|کوارتزیت پایه
base rate|نرخ مبنا
base rate earnings|کسب ارزش اولیه
base region|ناحیه بیس
base register|ثبات پایه
base repair|تعمیر اساسی
base reserves|اماد مبنای ذخیره
base resistance|مقاومت بیس
base ring|رینگ پایه
base runner|بیس رانر بیس بال
base running|دویدن بسوی پایگاه، دویدن به سوی پایگاه
base runoff|پایه
base saturation|اشباع بازی
base saturation percentage|درصد اشباع بازی
base section|قسمت تحتانی
base sedimentation survey|بررسی رسوب پایه
base sequence|توالی بازها
base shear|نیروی کلی حاصل از زلزله در پای ساختمان برش پای ساختمان
base shield|کاسه فلزی ته مهره ماسوره
base shop|تعمیرگاه پادگانی
base side|طرف فیلم پایه‌
base slab|دال پی
base space of a fiber bundle|فضای پایه کلاف تاری
base speed|سرعت مبنا
base spray|بسک ته
base spreading resistance|مقاومت گسترش بیس
